freq,stage1_db,stage1_deg,stage2_db,stage2_deg,stage3_db,stage3_deg
1.94984459975803e+03,-4.35937285346921e+01,-1.71465290658633e+02,-8.71239234636574e+01,1.49170237832763e+01,-1.30671003573561e+02,-1.66090914954005e+02
1.99526231496887e+03,-4.39914248590111e+01,-1.71727009755440e+02,-8.79216404267200e+01,1.44940434015288e+01,-1.31872636849364e+02,-1.66809715918734e+02
2.04173794466952e+03,-4.43892408017461e+01,-1.71987411426130e+02,-8.87194797001432e+01,1.40753372940185e+01,-1.33074148553072e+02,-1.67539950733661e+02
2.08929613085403e+03,-4.47871700554883e+01,-1.72246842203653e+02,-8.95174348816392e+01,1.36604426217745e+01,-1.34275497746556e+02,-1.68283320804294e+02
2.13796208950222e+03,-4.51852062882992e+01,-1.72505663747566e+02,-9.03154995526024e+01,1.32488811340413e+01,-1.35476636638745e+02,-1.69041623712486e+02
2.18776162394954e+03,-4.55833430936064e+01,-1.72764254098458e+02,-9.11136672262604e+01,1.28401576894617e+01,-1.36677509542268e+02,-1.69816759257184e+02
2.23872113856832e+03,-4.59815739343996e+01,-1.73023009017881e+02,-9.19119312900928e+01,1.24337586820853e+01,-1.37878051682548e+02,-1.70610735577159e+02
2.29086765276776e+03,-4.63798920808087e+01,-1.73282343419183e+02,-9.27102849415789e+01,1.20291503658797e+01,-1.39078187840738e+02,-1.71425675282688e+02
2.34422881531991e+03,-4.67782905400187e+01,-1.73542692894874e+02,-9.35087211161979e+01,1.16257770711162e+01,-1.40277830810213e+02,-1.72263821500666e+02
2.39883291901947e+03,-4.71767619773232e+01,-1.73804515346391e+02,-9.43072324064574e+01,1.12230593057215e+01,-1.41476879644857e+02,-1.73127543710170e+02
2.45470891568501e+03,-4.75752986269477e+01,-1.74068292722310e+02,-9.51058109705465e+01,1.08203917344197e+01,-1.42675217676099e+02,-1.74019343212291e+02
2.51188643150956e+03,-4.79738921910781e+01,-1.74334532871227e+02,-9.59044484290152e+01,1.04171410282672e+01,-1.43872710274819e+02,-1.74941858038156e+02
2.57039578276885e+03,-4.83725337253029e+01,-1.74603771515635e+02,-9.67031357476490e+01,1.00126435770025e+01,-1.45069202334040e+02,-1.75897867051705e+02
2.63026799189536e+03,-4.87712135084286e+01,-1.74876574353118e+02,-9.75018631044531e+01,9.60620305652984e+00,-1.46264515449070e+02,-1.76890292948042e+02
2.69153480392690e+03,-4.91699208943299e+01,-1.75153539291163e+02,-9.83006197383605e+01,9.19708784383959e+00,-1.47458444773887e+02,-1.77922203783486e+02
2.75422870333815e+03,-4.95686441431707e+01,-1.75435298821644e+02,-9.90993937769430e+01,8.78452827177746e+00,-1.48650755536465e+02,-1.78996812599538e+02
2.81838293126443e+03,-4.99673702289562e+01,-1.75722522540694e+02,-9.98981720400241e+01,8.36771371633980e+00,-1.49841179202196e+02,1.79882525379931e+02
2.88403150312658e+03,-5.03660846199504e+01,-1.76015919819096e+02,-1.00696939815656e+02,7.94578950964438e+00,-1.51029409284150e+02,1.78712318589602e+02
2.95120922666636e+03,-5.07647710280139e+01,-1.76316242627485e+02,-1.01495680604434e+02,7.51785367245416e+00,-1.52215096812676e+02,1.77488948708905e+02
3.01995172040199e+03,-5.11634111223763e+01,-1.76624288519464e+02,-1.02294375827581e+02,7.08295346118801e+00,-1.53397845495624e+02,1.76208684797387e+02
3.09029543251357e+03,-5.15619842027489e+01,-1.76940903774172e+02,-1.03093004493580e+02,6.64008172582123e+00,-1.54577206625476e+02,1.74867702873667e+02
3.16227766016836e+03,-5.19604668260034e+01,-1.77266986697677e+02,-1.03891542817495e+02,6.18817307705872e+00,-1.55752673821812e+02,1.73462111906684e+02
3.23593656929626e+03,-5.23588323798826e+01,-1.77603491079846e+02,-1.04689963786280e+02,5.72609986378081e+00,-1.56923677737817e+02,1.71987987231509e+02
3.31131121482589e+03,-5.27570505963730e+01,-1.77951429799762e+02,-1.05488236662567e+02,5.25266796516942e+00,-1.58089580908373e+02,1.70441412395970e+02
3.38844156139200e+03,-5.31550869964381e+01,-1.78311878568226e+02,-1.06286326418456e+02,4.76661240629287e+00,-1.59249672974542e+02,1.68818530364351e+02
3.46736850452529e+03,-5.35529022568081e+01,-1.78685979790142e+02,-1.07084193089789e+02,4.26659281148997e+00,-1.60403166583576e+02,1.67115604821544e+02
3.54813389233573e+03,-5.39504514884270e+01,-1.79074946522414e+02,-1.07881791040290e+02,3.75118871689437e+00,-1.61549194332080e+02,1.65329092002421e+02
3.63078054770099e+03,-5.43476834149953e+01,-1.79480066494011e+02,-1.08679068123737e+02,3.21889477219891e+00,-1.62686807187486e+02,1.63455722983595e+02
3.71535229097170e+03,-5.47445394388289e+01,-1.79902706143819e+02,-1.09475964731085e+02,2.66811587261922e+00,-1.63814974881702e+02,1.61492595689204e+02
3.80189396320558e+03,-5.51409525800030e+01,1.79655685381736e+02,-1.10272412708159e+02,2.09716227541456e+00,-1.64932588809819e+02,1.59437274962152e+02
3.89045144994278e+03,-5.55368462735107e+01,1.79193572345903e+02,-1.11068334128260e+02,1.50424477171985e+00,-1.66038467972245e+02,1.57287897943168e+02
3.98107170553494e+03,-5.59321330079959e+01,1.78709328748465e+02,-1.11863639902771e+02,8.87470004398280e-01,-1.67131368454669e+02,1.55043280722901e+02
4.07380277804110e+03,-5.63267127885948e+01,1.78201234981362e+02,-1.12658228211797e+02,2.44836046721126e-01,-1.68209996830597e+02,1.52703020874616e+02
4.16869383470332e+03,-5.67204714056616e+01,1.77667474961349e+02,-1.13451982735997e+02,-4.25771614419006e-01,-1.69273027682358e+02,1.50267589180777e+02
4.26579518801589e+03,-5.71132784908055e+01,1.77106133922551e+02,-1.14244770670374e+02,-1.12658351269770e+00,-1.70319125162055e+02,1.47738402835286e+02
4.36515832240162e+03,-5.75049853419286e+01,1.76515197092473e+02,-1.15036440500913e+02,-1.85994883540626e+00,-1.71346968159221e+02,1.45117871877136e+02
4.46683592150960e+03,-5.78954225000868e+01,1.75892549522432e+02,-1.15826819526010e+02,-2.62833698964664e+00,-1.72355278228621e+02,1.42409410843806e+02
4.57088189614871e+03,-5.82843970633300e+01,1.75235977397860e+02,-1.16615711106809e+02,-3.43433778170801e+00,-1.73342848999932e+02,1.39617408838342e+02
4.67735141287194e+03,-5.86716897266193e+01,1.74543171215519e+02,-1.17402891634392e+02,-4.28065982821423e+00,-1.74308575398515e+02,1.36747153494756e+02
4.78630092322634e+03,-5.90570515429806e+01,1.73811731283089e+02,-1.18188107207634e+02,-5.17012674941786e+00,-1.75251480721164e+02,1.33804707650942e+02
4.89778819368442e+03,-5.94402004098335e+01,1.73039176070535e+02,-1.18971070024126e+02,-6.10567062116909e+00,-1.76170739499360e+02,1.30796741641992e+02
5.01187233627268e+03,-5.98208172966327e+01,1.72222954019940e+02,-1.19751454498568e+02,-7.09032208485115e+00,-1.77065694195255e+02,1.27730328553270e+02
5.12861383991361e+03,-6.01985422463626e+01,1.71360459497409e+02,-1.20528893139172e+02,-8.12719643768322e+00,-1.77935864130777e+02,1.24612713921563e+02
5.24807460249768e+03,-6.05729702048476e+01,1.70449053641325e+02,-1.21302972233749e+02,-9.21947495494247e+00,-1.78780945624967e+02,1.21451074607347e+02
5.37031796370248e+03,-6.09436467590924e+01,1.69486090917517e+02,-1.22073227424111e+02,-1.03703806391589e+01,-1.79600803044521e+02,1.18252283344747e+02
5.49540873857620e+03,-6.13100638996018e+01,1.68468952222292e+02,-1.22839139280765e+02,-1.15831475605398e+01,-1.80395451261831e+02,1.15022695495785e+02
5.62341325190344e+03,-6.16716559622094e+01,1.67395085363688e+02,-1.23600129030061e+02,-1.28609829628008e+01,-1.81165030756636e+02,1.11767972778800e+02
5.75439937337152e+03,-6.20277959521864e+01,1.66262053680960e+02,-1.24355554632733e+02,-1.42070213780927e+01,-1.81909777195540e+02,1.08492955493051e+02
5.88843655355584e+03,-6.23777925062707e+01,1.65067593409442e+02,-1.25104707465111e+02,-1.56242701462883e+01,-1.82629987712207e+02,1.05201590530602e+02
